creation_date,job_title,country,category,salary_min,salary_max,salary_predicted,description,work_mode,skills,salary_min_raw,salary_max_raw,salary_avg,year
2025-05-20 16:07:24+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world's 1 lifestyle franchise? Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 16:07:23+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world's 1 lifestyle franchise? Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 16:07:23+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,42712.66,42712.66,1,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world's 1 lifestyle franchise? Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,42712.66,42712.66,42712.66,2025
2025-05-20 16:07:23+00:00,Remote Travel Business Development / Sales Coach - World 1 Franchise,GB,Sales Jobs,35000.0,35000.0,0,"Want to make a difference? Want to be a part of the fastest-growing travel business in the UK? Want to join the world's 1 lifestyle franchise? Want more than just a job? If so, we're ready for you… Get ready to join a multi-award-winning travel business brand that has grown 4000% in the last 10 years since shaking up the industry in 2011? We are no ordinary travel business as we are changing lives every single day. You'll be helping Travel Consultants find customers, close deals, and sell more.…",Onsite,r,35000.0,35000.0,35000.0,2025
2025-05-20 15:40:07+00:00,"Data Product Manager, Product Analytics, Global Streaming",GB,IT Jobs,62603.51,62603.51,1,"Job Description NBCUniversal is looking for a detail-oriented Data Product Manager As a member of the Decision Sciences team, you will champion a Data-as-a-Product mindset. Bringing in-depth data understanding to the team, you will play a key role in owning, managing and supporting the data across the underlying systems and technology stack. The data in focus will be driven from the product experience across growth, acquisition, engagement, ads and churn experiences. This will allow the product…",Onsite,r,62603.51,62603.51,62603.51,2025
2025-05-20 15:32:04+00:00,Data and Reporting Analyst,GB,Accounting & Finance Jobs,35738.57,35738.57,1,"As our Reporting Analyst you will be responsible for producing multiple operational and internal customer reports across Sherwin Business Services operations. Ideally you will be enthusiastic, excited to learn and have an analytical and enquiring mind with the ability to manipulate data from multiple complex sources is required. This role is based at Witney, Oxfordshire one day a week with working from home on the other days. In this role you will be accountable for Reporting Ensure reports are…",Onsite,r,35738.57,35738.57,35738.57,2025
2025-05-20 15:32:04+00:00,Data Governance Analyst,GB,IT Jobs,55000.0,55000.0,0,"Data Governance Analyst Hybrid Working (1 day a week onsite - North West England) Salary: Up to £55,000 (DOE) Sector: Healthcare & Logistics The Role: Join a leading healthcare and logistics organisation as a Data Governance Analyst. This role focuses on ensuring the quality, structure, and governance of business-critical data. You'll drive data governance initiatives, improve data processes, and work with IT and business teams to ensure data is accurate, reliable, and compliant with GDPR. Key …",Hybrid,r,55000.0,55000.0,55000.0,2025
2025-05-20 15:03:25+00:00,Power BI Process & Data Lead (m/w/d),GB,IT Jobs,45372.18,45372.18,1,"At Zimmer Biomet, we believe in pushing the boundaries of innovation and driving our mission forward. As a global medical technology leader for nearly 100 years, a patient's mobility is enhanced by a Zimmer Biomet product or technology every 8 seconds. As a Zimmer Biomet team member, you will share in our commitment to providing mobility and renewed life to people around the world. To support our talent team, we focus on development opportunities, robust employee resource groups (ERGs), a flexi…",Onsite,r,45372.18,45372.18,45372.18,2025
2025-05-20 15:02:53+00:00,Clinical Data Analyst,GB,Healthcare & Nursing Jobs,35830.44,35830.44,1,"The Clinical Data Analyst specializing in data entry and analysis plays a pivotal role in ensuring accurate and timely data management for clinical trials. This role involves proficiently entering, cleaning, and analyzing data collected during clinical trials while adhering to regulatory guidelines and study protocols. Responsibilities: Data Entry: Accurately enter clinical trial data into Sponsor Operations systems or other designated databases in a timely manner, Planisware experience is a pl…",Onsite,r,35830.44,35830.44,35830.44,2025
2025-05-20 15:02:43+00:00,"Data Product Manager, Product Analytics, Global Streaming",GB,IT Jobs,65066.19,65066.19,1,"NBCUniversal is one of the world's leading media and entertainment companies. We create world-class content, which we distribute across our portfolio of film, television, and streaming, and bring to life through our theme parks and consumer experiences. We own and operate leading entertainment and news brands, including NBC, NBC News, MSNBC, CNBC, NBC Sports, Telemundo, NBC Local Stations, Bravo, USA Network, and Peacock, our premium ad-supported streaming service. We produce and distribute pre…",Onsite,r,65066.19,65066.19,65066.19,2025
