Title,Company,Location,Salary_Min,Salary_Max,Salary_Avg,Salary_Is_Predicted,Category,Description,URL
Technical Data Analyst,HR Inspire,"Farnborough, Hampshire",47599.54,47599.54,47599.54,1,IT Jobs,"Job Title: Technical Data Analyst Location: Hybrid (2-3 days per week in office Farnborough) Salary: Competitive Working Hours: Full Time Key Responsibilities: Assessment of data workflows & interfaces status quo, comparing them vs industry best practices & automating ETL processes where feasible. Core development skillsets are required, with particular focus on SQL, Microsoft SQL, Integration Services & Python. Development & reporting services for business-critical daily, weekly & monthly perf…",https://www.adzuna.co.uk/jobs/land/ad/5196417058?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=19E82AA7431D42CED569BFF3DB26CB0FF9DF150D
Data Analyst Apprenticeship,Baltic Apprenticeships,"Benwell, Newcastle Upon Tyne",16000.0,16000.0,16000.0,0,IT Jobs,"Dive into a Data-Driven Career with Jellyfish Energy! Jellyfish Energy, a pioneering force in sustainable energy solutions, is looking for a Junior Data Analyst Apprentice to join their dynamic team. This is a fantastic opportunity to gain hands-on experience in data analysis while working towards your Junior Data Analyst Level 3 qualification , supported by expert training from Baltic Apprenticeships . As a company committed to reducing carbon footprints through cutting-edge technology, Jellyf…",https://www.adzuna.co.uk/jobs/land/ad/5185237887?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=C97B4A60DB6984A333F7A037226C63B1AD4A5D79
Azure Data Analyst,Queen Square Recruitment Limited,"Windsor, Windsor & Maidenhead",123500.0,123500.0,123500.0,0,IT Jobs,"?? Job Opening: Azure Data Analyst (Hybrid | Windsor, UK) Rate: £475/day (PAYE) Duration: 6 Months Location: Windsor, UK (Hybrid 1 day/week onsite) About the Role We are seeking a highly experienced Azure Data Analyst with a deep understanding of the Energy Utilities domain, particularly in Smart Metering projects. The successful candidate will be responsible for transforming large volumes of complex data into meaningful business insights, ensuring high data quality, and supporting analytical a…",https://www.adzuna.co.uk/jobs/land/ad/5196416999?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=7C944E73062E2FB4D4DEC214B2CB47FD10494903
Data Analyst Apprenticeship,Baltic Apprenticeships,"Benwell, Newcastle Upon Tyne",16000.0,16000.0,16000.0,0,Admin Jobs,"Kickstart Your Data Career with Green Energy Consulting! Green Energy Consulting, a leading consultancy dedicated to driving sustainable energy solutions, is offering an exciting Data Apprentice opportunity. As part of our team, youll gain hands-on experience in data analysis and work towards your Level 3 Data Analyst qualification , with expert guidance from Baltic Apprenticeships . Our mission is to help businesses achieve energy efficiency and sustainability , and as a Data Apprentice, youll…",https://www.adzuna.co.uk/jobs/land/ad/5185237889?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=7CC76F8D5E07B7BD8F18B2D03029C495EB276C2B
Business Data Analyst,HAYS,"Belfast, Northern Ireland",36127.41,36127.41,36127.41,1,IT Jobs,"We are working with a global financial institution to recruit a Business Data Analyst to join their project execution team. This role is crucial for ensuring timely execution of Price Risk deliverables, leveraging expertise in business analysis, project execution, and delivery, with a focus on trade population control and data quality. Key Responsibilities Drive execution of the Price Risk Data regulatory book of work. Enhance controls for trade population completeness and CDE data quality. Per…",https://www.adzuna.co.uk/jobs/land/ad/5169310579?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=604FCB41B1F67258E9969122F2B32DAAD633F8DD
Product Data Analyst,AXCO,"Fenchurch St, Central London",42606.23,42606.23,42606.23,1,IT Jobs,"Product Data Analyst Location: London, Hybrid EC3A 3DE Salary: Competitive, DOE,  Excellent Benefits! Contract Type: Full Time, Permanent What We Can Offer You: Hybrid Working, Performance-Related Bonus, Life Assurance, Additional Holiday Purchase, Health Cash Plan, Subsidised Gym Memberships, Cycle to Work scheme, Discount Vouchers and Access to Wellbeing Resources! Why Do We Want You We are seeking a Product Data Analyst to join our Product & Innovation team at Axco, part of Wilmington Plc. W…",https://www.adzuna.co.uk/jobs/land/ad/5200589494?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=4CA1D0EB3DB486050BCB121C9A1BF64AF8722EB8
Reporting and Data Analyst,CHP,"Springfield, Chelmsford",40000.0,40000.0,40000.0,0,IT Jobs,"Reporting and Data Analyst £41,704 Chelmsford Permanent,Full Time To be responsible for the development of reporting, data analysis, and business intelligence solutions, working with users to meet their data and reporting needs, and promoting the corporate data warehouse. To develop and maintain CHPs management information library and produce and submit national and local datasets such as benchmarking data and Tenant Satisfaction Measures (TSMs). What you'll be doing Manage and develop CHPs sui…",https://www.adzuna.co.uk/jobs/land/ad/5196416980?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=2EEB2B7A05461B7DF8EF8A916E73E41990C40105
Data Analyst Apprentice,TOYOTA MATERIAL HANDLING UK,"Whitwood, Castleford",23098.78,23098.78,23098.78,1,Admin Jobs,"We are looking for a Data Analyst Apprentice to join our team and work towards a Level 4 qualification. The primary objective of the role is to collect and interpret key data in order to produce reports and performance dashboards for 4 key business areas - People Support, People Development, Fleet and QHSE. As part of the apprenticeship, you will develop your knowledge of statistical analysis and the tools for date visualisation. About the role On a day-today basis this is what you would be doi…",https://www.adzuna.co.uk/jobs/land/ad/5196417077?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=6413CB83AC3179DF4EBD7AF8C7E6D911BEC0C611
Estates Data Analyst,Maria Mallaband Care Group,"Lower Wortley, Leeds",29308.34,29308.34,29308.34,1,IT Jobs,"About the Role We are looking for a driven individual to join our estates team as a Data Analyst. In this role you will be responsible for supporting the Estates team by analysing data, producing reports and working alongside our helpdesk to keep our care homes compliant. This is an office-based role working Monday-Friday within our Leeds Head Office, the role will also require the successful candidate to work 1 weekend in 6 on an on-call rota Salary up to £30,000 pa The role: As part of the ro…",https://www.adzuna.co.uk/jobs/land/ad/5177356791?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=EB74A75F25B1C0193E4CF7D2ABAB16BDBA0CFE58
Digital Data Analyst,Motability Operations,"Leith, Edinburgh",51916.77,51916.77,51916.77,1,IT Jobs,"Description We use innovation to shape data so it works for everyone and we're planning to re-platform and improve the existing (commercial, operational and customer) data assets and develop new ones, as well as transform how we work with the business to use our data better. As our Digital Data Analyst, you will play a key role in supporting the charge in digital innovation and management across our diverse range of products and services. In this role, you will support our Digital teams, encomp…",https://www.adzuna.co.uk/jobs/land/ad/5138517713?se=cl6Hqi0z8BGi5qo2_LWCew&utm_medium=api&utm_source=25f3af84&v=71CE8E640A245B2BEE16B998236D13B88D37A342
